ITEM_NAME,VENDOR,BRAND,VENDOR_CODE,UNIT_TYPE,SUBUNIT,SUBUNIT_SIZE,UNIT_PRICE,LAST_UPDATE,ACCOUNT,FLAG
CROISSANT MARGARINE CURVED SLICED,SYSCO,BAKER'S SOURCE,9805649,CASE,4,18 CT,56.38,8/8/2025,BAKERY,
DESSERT BAR VARIETY 8-PACK 2 POUND TRAY,SYSCO,SWEET STREET,4290474,CASE,8,8 CT,140.9,9/26/2025,BAKERY,
DONUT CAKE CHOCOLATE GLAZED OLD FASHIONED,SYSCO,BAKER'S SOURCE,7125242,CASE,72,2.5 OZ,47.59,9/26/2025,BAKERY,
DONUT YEAST RING GLAZED,SYSCO,BAKER'S SOURCE,7125250,CASE,72,2.5 OZ,34.39,9/24/2025,BAKERY,
DOUGH COOKIE CARNIVAL 1.33 OUNCE,SYSCO,OTIS SPUNKMEYER,7523145,CASE,240,1.33 OZ,68.76,9/24/2025,BAKERY,
DOUGH COOKIE CHOCOLATE CHIP,SYSCO,BAKER'S SOURCE,7134864,CASE,108,3 OZ,65.43,9/26/2025,BAKERY,
DOUGH COOKIE CHOCOLATE CHIP,SYSCO,OTIS SPUNKMEYER,1412642,CASE,240,1.33 OZ,60.75,9/5/2025,BAKERY,
DOUGH COOKIE CHOCOLATE CHUNK,SYSCO,BEST MAID COOKIE,3105602,CASE,200,1.5 OZ,82.91,8/22/2025,BAKERY,
DOUGH COOKIE CRANBERRY WHITE CHOCOLATE,SYSCO,OTIS SPUNKMEYER,6206619,CASE,104,3 OZ,98.93,9/26/2025,BAKERY,
DOUGH COOKIE OATMEAL RAISIN,SYSCO,OTIS SPUNKMEYER,1412667,CASE,240,1.33 OZ,54.27,8/26/2025,BAKERY,
DOUGH COOKIE PEANUT BUTTER,SYSCO,OTIS SPUNKMEYER,1412683,CASE,240,1.33 OZ,57.1,8/19/2025,BAKERY,
DOUGH COOKIE SUGAR BATTER,SYSCO,OTIS SPUNKMEYER,1454479,CASE,240,1.33 OZ,54.14,9/24/2025,BAKERY,
DOUGH DANISH MINI SELECTION,SYSCO,SCHULSTAD,2437176,CASE,120,1.5 OZ,65.86,9/17/2025,BAKERY,
DOUGH ROLL CINNAMON FREEZER TO OVEN,SYSCO,PILLSBURY BAKERIES,1853845,CASE,200,1.5 OZ,68.88,9/19/2025,BAKERY,
ICE CREAM CHOCOLATE,SYSCO,ASHBY'S,2179905,CASE,1,3 GAL,35.13,8/13/2025,BAKERY,
ICE CREAM SCOOP VANILLA BEAN,SYSCO,BLUE BUNNY,7417779,CASE,36,4 OZ,33.33,9/26/2025,BAKERY,
ICE CREAM VANILLA PREMIUM,SYSCO,ASHBY'S,2471789,CASE,1,3 GAL,37.22,8/8/2025,BAKERY,
